Cell	Plate Number	Classification	Percent_Mitochondrial	Clusters
X171_1	P1	engaging	22.4229720383265	2
X172_1	P1	engaging	18.6663604365562	3
X173_1	P1	engaging	24.3268969621499	0
X174_1	P1	engaging	15.6644698065024	4
X175_1	P1	engaging	19.4736472336284	0
X176_1	P1	engaging	28.0418312904718	2
X177_1	P1	engaging	17.0607165226769	3
X178_1	P1	engaging	21.2188691155405	2
X179_1	P1	engaging	19.8392287662014	0
X181_1	P1	engaging	23.8799164842998	0
X182_1	P1	engaging	16.3167842043064	3
X183_1	P1	engaging	17.2463125462841	3
X184_1	P1	engaging	22.8734429091928	0
X185_1	P1	engaging	24.0759417551809	0
X188_1	P1	engaging	17.158604855218	0
X189_1	P1	engaging	5.45889505889193	2
X190_1	P1	engaging	22.7170562723329	6
X191_1	P1	engaging	10.8729061980322	2
X192_1	P1	engaging	27.4276464215788	0
X194_1	P1	engaging	20.726149875073	0
X195_1	P1	engaging	13.4805699554146	0
X197_1	P1	engaging	19.91309673	2
X199_1	P1	engaging	10.6892307617538	6
X201_1	P1	engaging	13.5170667634924	0
X203_1	P1	engaging	18.1892857842547	2
X204_1	P1	engaging	22.2190965528463	0
X205_1	P1	engaging	20.2948541505823	0
X206_1	P1	engaging	20.8742612419699	0
X207_1	P1	engaging	18.385532456489	3
X208_1	P1	engaging	12.2473584199464	2
X211_1	P1	engaging	20.0487837995111	3
X212_1	P1	engaging	24.7662746249226	0
X213_1	P1	engaging	16.7726692229662	0
X214_1	P1	engaging	22.7392783142421	3
X216_1	P1	engaging	10.4748553077185	2
X217_1	P1	engaging	27.6561070874211	2
X218_1	P1	engaging	14.5517351319053	0
X219_1	P1	engaging	16.4330112527901	0
X220_1	P1	engaging	13.2415474024683	0
X221_1	P1	engaging	22.3782061307475	0
X222_1	P1	engaging	14.9647146365379	0
X223_1	P1	engaging	14.3191332971141	0
X224_1	P1	engaging	19.327518406171	2
X225_1	P1	engaging	17.4363531923656	0
X226_1	P1	engaging	22.5344296278393	3
X228_1	P1	engaging	28.5257658212374	2
X229_1	P1	engaging	20.5769621210166	0
X230_1	P1	engaging	21.9734443044347	2
X231_1	P1	engaging	15.4976668765899	3
X232_1	P1	engaging	24.229927305956	0
X233_1	P1	engaging	14.7321724851998	3
X235_1	P1	engaging	15.3988349880072	0
X236_1	P1	engaging	24.1140412135723	2
X237_1	P1	engaging	26.6026846650985	3
X238_1	P1	engaging	27.3477796710606	0
X241_1	P1	engaging	18.8670520737913	2
X242_1	P1	engaging	11.0742101490503	0
X243_1	P1	engaging	9.32971904979988	2
X244_1	P1	engaging	18.3927104923546	0
X245_1	P1	engaging	15.4462404668301	0
